Item Name,Selling Price (Customer)
WHIRLPOOL SPIN CAP,70
SAMSUNG SPIN CAP,70
VIDEOCON SPIN CAP,70
LG WASH PULLY,120
SAMSUNG WASH PULLY,120
GODREJ WASH PULLY,120
WHIRLPOOL WASH PULLY,120
BREAK PLATE MIX,120
WHIRLPOOL KNOB,40
PDS KNOB,30
GODREJ KNOB,30
GODREJ KNOB SILVER,30
SAMSUNG KNOB ,30
WHIRLPOOL DRAIN LEVER,35
SAMSUNG DRAIN LEVER,35
LG DRAIN LEVER,35
VIDEOCON DRAIN LEVER,35
WHIRLPOOL SPIN MOTOR,1000
LG OLD KNOB,25
SEMI AUTO 2MTR INLET PIPE,100
MARUTI REF,
LG ROLLER,20
SAMSUNG 3 ROLLER PULSATOR ROLLER,100
SAMSUNG 2 ROLLER PULSATOR ROLLER,50
WHIRLPOOL SEMI SHOCKER,150
GODREJ SEMI SHOCKER,150
LG SEMI SHOCKER,150
VIDEOCON SEMI SHOCKER,150
SAMSUNG SEMI SHOCKER,150
TAP ADAPTOR/INLET,70
WHIRLPOOL TAP ADAPTOR,80
V BELT,80
WHIRLPOOL BELT,80
GODREJ DRAIN TIMER,150
UNIVERSAL BUFFER RAJA,110
SAMSUNG BUFFER,110
WHIRLPOOL BUFFER OLD TYPE,160
LG BUFFER OLD TYPE ,110
COCK DRAIN VAVLE RUBBER,70
LG SPIN CAP,70
 TAPE ADAPTOR WHITE,70
MARUTI REF,
GODREJ 15 MIN SINGLE WASH TIMER OLD 00027,350
SAMSUNG 4 WIRE 15 MIN SINGLE WASH TIMER,350
WHIRLPOOL 15 MIN 4 WIRE SINGLE WASH  TIMER,350
ONIDA 7 WIRE SINGLE WASH TIMR ,400
SAMSUNG 15 MIN SINGLE WASH TIMER,350
SAMSUNG 15 MIN DOUBLE WASH TIMER,400
WHIRLPOOL 6012 DOUBLE WASH TIMER,400
SAMSUNG 4 WIRE 15 MIN DOUBLE WASH TIMER,400
SAMSUNG 42 MIN DOUBLE WASH TIMER,400
LG 4 WIRE 15 MIN DOUBLE WASH TIMER,400
LG 4 WIRE SINGLE WASH TIMER,350
HAIER 15 MIN SINGLE WASH TIMER,350
HAIER 35 MIN SINGLE WASH TIMER,350
LG SPIN TIMER JACK,170
SAMSUNG SPIN TIMER JACK,150
VIDEOCON SPIN TIMER,150
WHIRLPOOL SPIN TIMER,150
GODREJ SPIN TIMER 00013,150
ELX 15 MIN 7 WIRE SINGLE WASH TIMER,350
WHIRLPOOL SPIN TIMER,150
,
LG SMALL 3 ROLLER PULSATOR,400
LG DRAIN ASSEMBLY,350
LG 9 KG DRAIN ASSEMBLY,350
WHIRLPOOL DRAIN ASSEMBLY,200
VIDEOCON DRAIN ASSEMBLY,250
SAMSUNG SPIN MOTOR W.P(DVM),950
LG SPIN MOTOR W.P (DVM),950
UNIVERSAL SPIN MOTOR W.P (DVM),950
40 T SPIN MOTOR,950
LG JACK SPIN MOTOR,950
40 T WASH MOTOR,1100
6800 WASH MOTOR,1100
180 WAT WASH MOTOR,1200
WHIRLPOOL WASH MOTOR,1100
LG WASH MOTOR WP,1100
SAMSUNG WASH MOTOR WP,1100
GODREJ 7 WIRE 35 MIN SINGLE WASH TIMER 00012,350
VIDEOCON DOUBLE WASH TIMER 42 MIN OLD,500
